frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_z,three_x
24,1,188.06,209.01,247.02,295.32,0.757,0,217.54,295.32,-4.0729,3.4277
24,2,244.64,219.08,315.36,321.34,0.674,0,280.00,321.34,-3.8702,4.4256
24,4,730.82,120.76,757.28,174.60,0.417,0,744.05,174.60,5.3351,7.1359
25,1,188.12,208.96,247.00,295.07,0.756,0,217.56,295.07,-4.0707,3.4224
25,2,244.70,219.07,315.34,321.38,0.670,0,280.02,321.38,-3.8704,4.4263
25,4,731.11,120.72,757.26,174.63,0.371,0,744.19,174.63,5.3347,7.1388
26,1,188.08,208.99,247.08,295.24,0.756,0,217.58,295.24,-4.0720,3.4263
26,2,244.68,219.04,315.23,321.40,0.671,0,279.95,321.40,-3.8710,4.4261
26,4,731.27,120.77,757.37,175.38,0.359,0,744.32,175.38,5.2721,7.1526
27,1,188.06,209.01,247.12,295.29,0.757,0,217.59,295.29,-4.0723,3.4274
27,2,244.71,219.04,315.16,321.39,0.671,0,279.93,321.39,-3.8710,4.4258
27,4,731.12,120.90,757.87,178.08,0.367,0,744.50,178.08,5.0476,7.1960
28,1,188.00,209.01,247.05,295.26,0.760,0,217.53,295.26,-4.0725,3.4262
28,2,244.80,219.05,315.17,321.40,0.674,0,279.98,321.40,-3.8708,4.4263
28,4,731.64,121.05,757.49,177.31,0.372,0,744.57,177.31,5.1126,7.1859
29,1,187.98,209.02,247.03,295.25,0.760,0,217.50,295.25,-4.0726,3.4258
29,2,244.95,219.06,315.29,321.41,0.676,0,280.12,321.41,-3.8700,4.4276
29,4,732.20,121.16,756.98,175.88,0.407,0,744.59,175.88,5.2337,7.1649
30,1,187.98,209.02,247.06,295.26,0.761,0,217.52,295.26,-4.0726,3.4262
30,2,245.03,219.06,315.35,321.42,0.677,0,280.19,321.42,-3.8696,4.4283
30,4,732.48,121.25,756.69,175.48,0.393,0,744.59,175.48,5.2675,7.1588
31,1,187.99,209.02,247.09,295.27,0.762,0,217.54,295.27,-4.0725,3.4265
31,2,245.06,219.06,315.34,321.42,0.677,0,280.20,321.42,-3.8696,4.4284
31,4,732.46,121.30,756.65,176.29,0.389,0,744.55,176.29,5.1982,7.1705
32,1,187.99,209.02,247.10,295.27,0.762,0,217.54,295.27,-4.0725,3.4266
32,2,245.07,219.06,315.33,321.41,0.678,0,280.20,321.41,-3.8695,4.4282
32,4,732.62,121.32,756.63,176.53,0.383,0,744.62,176.53,5.1790,7.1753
32,7,732.93,121.37,755.35,197.05,0.421,0,744.14,197.05,3.6660,7.4346
33,1,187.98,209.02,247.09,295.25,0.763,0,217.54,295.25,-4.0723,3.4260
33,2,245.07,219.05,315.30,321.41,0.680,0,280.19,321.41,-3.8696,4.4282
33,4,732.48,121.37,756.73,177.85,0.369,0,744.60,177.85,5.0683,7.1945
33,7,732.82,121.46,755.36,197.52,0.527,0,744.09,197.52,3.6360,7.4390
34,1,187.93,209.02,247.07,295.31,0.755,0,217.50,295.31,-4.0731,3.4270
34,2,245.11,219.04,315.36,321.44,0.678,0,280.23,321.44,-3.8696,4.4290
34,4,732.62,121.36,756.60,177.71,0.331,0,744.61,177.71,5.0799,7.1926
34,7,732.59,121.52,755.39,198.38,0.576,0,743.99,198.38,3.5803,7.4472
35,1,187.91,209.03,247.06,295.33,0.756,0,217.48,295.33,-4.0734,3.4272
35,2,245.10,219.04,315.37,321.50,0.680,0,280.24,321.50,-3.8700,4.4300
35,4,732.72,121.37,756.69,178.26,0.351,0,744.71,178.26,5.0362,7.2022
35,7,732.60,121.54,755.47,198.65,0.588,0,744.03,198.65,3.5640,7.4509
36,1,187.90,209.03,247.05,295.33,0.756,0,217.48,295.33,-4.0734,3.4273
36,2,245.11,219.04,315.37,321.52,0.680,0,280.24,321.52,-3.8702,4.4304
36,4,732.94,121.37,756.56,177.90,0.356,0,744.75,177.90,5.0661,7.1978
36,7,732.62,121.55,755.50,198.66,0.570,0,744.06,198.66,3.5635,7.4515
37,1,187.90,209.03,247.04,295.32,0.757,0,217.47,295.32,-4.0734,3.4270
37,2,245.12,219.05,315.37,321.53,0.681,0,280.25,321.53,-3.8702,4.4305
37,7,732.75,121.61,755.66,198.75,0.597,0,744.21,198.75,3.5600,7.4546
38,1,187.90,209.03,247.03,295.31,0.757,0,217.46,295.31,-4.0734,3.4268
38,2,245.13,219.05,315.38,321.54,0.681,0,280.26,321.54,-3.8702,4.4307
38,7,732.86,121.65,755.85,198.92,0.630,0,744.36,198.92,3.5513,7.4588
39,1,187.91,209.03,247.03,295.31,0.757,0,217.47,295.31,-4.0733,3.4267
39,2,245.13,219.05,315.37,321.54,0.681,0,280.25,321.54,-3.8703,4.4308
39,7,732.94,121.83,755.96,199.07,0.636,0,744.45,199.07,3.5430,7.4619
40,1,187.91,209.04,247.04,295.32,0.756,0,217.47,295.32,-4.0734,3.4271
40,2,245.14,219.05,315.37,321.54,0.681,0,280.25,321.54,-3.8703,4.4308
40,7,733.01,121.84,756.10,199.11,0.639,0,744.56,199.11,3.5425,7.4638
41,1,187.91,209.03,247.04,295.32,0.757,0,217.48,295.32,-4.0734,3.4272
41,2,245.11,218.85,315.68,321.92,0.680,0,280.39,321.92,-3.8725,4.4381
41,7,733.26,121.87,756.20,198.42,0.570,0,744.73,198.42,3.5878,7.4587
42,1,187.94,209.03,247.04,295.28,0.760,0,217.49,295.28,-4.0729,3.4263
