frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
0,1,809,683,960,955,0.9655126929283142,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
0,2,847,527,960,648,0.8646404147148132,0,903,648,-1.5792310237884521,5.209370136260986,WALKWAY_1,1.0707964601769913
0,3,1582,328,1692,523,0.6964084506034851,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7727272727272727
0,4,453,465,480,533,0.6958632469177246,0,466,533,8.170206069946289,5.022764682769775,WALKWAY_4,2.5185185185185186
0,5,780,366,815,455,0.6638004779815674,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
0,6,733,377,779,471,0.6583268046379089,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,2.0434782608695654
0,7,1411,329,1543,482,0.6406779885292053,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
0,8,620,394,706,552,0.5698308944702148,0,663,552,2.815835475921631,4.243391990661621,WALKWAY_25,1.8372093023255813
1,1,809,683,960,955,0.9654679298400879,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
1,2,847,527,960,648,0.862240195274353,0,903,648,-1.5792310237884521,5.209370136260986,WALKWAY_1,1.0707964601769913
1,3,1582,328,1692,523,0.6972035765647888,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7727272727272727
1,4,453,465,480,533,0.6954967975616455,0,466,533,8.170206069946289,5.022764682769775,WALKWAY_4,2.5185185185185186
1,5,780,366,815,455,0.6417030692100525,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
1,6,733,376,779,471,0.5944609045982361,0,756,471,4.753100395202637,1.7748212814331055,WALKWAY_29,2.0652173913043477
1,7,1411,329,1543,482,0.638913631439209,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
1,8,619,395,705,552,0.5189543962478638,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,1.8255813953488371
2,1,809,683,960,955,0.9655941724777222,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
2,2,847,527,960,648,0.8607901334762573,0,903,648,-1.5792310237884521,5.209370136260986,WALKWAY_1,1.0707964601769913
2,3,1582,328,1693,523,0.6970790028572083,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
2,4,453,465,480,534,0.6971274614334106,0,466,534,8.117762565612793,5.031749725341797,WALKWAY_4,2.5555555555555554
2,5,780,366,815,455,0.6361522674560547,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
