frame_idx,x1,y1,x2,y2,score,class_id,feet_x,feet_y,three_x,three_z
0,1768.2451171875,252.8958740234375,1887.3583984375,580.3765869140625,0.7087839245796204,0,1827.802,580.377,-4.653938,1.631743
0,655.12548828125,411.372314453125,769.56640625,654.693603515625,0.553905189037323,0,712.346,654.694,2.178421,4.897975
0,1561.4677734375,325.28607177734375,1664.591796875,550.5087890625,0.524983823299408,0,1613.030,550.509,-3.140952,1.212543
0,2112.536865234375,211.642822265625,2172.232177734375,401.1485595703125,0.42287513613700867,0,2142.385,401.149,-4.311670,-2.735061
0,748.4609985351562,366.50811767578125,807.4859008789062,479.54815673828125,0.3765636682510376,0,777.973,479.548,15.255589,-1.623375
1,669.6461181640625,393.13714599609375,748.6790771484375,551.5377807617188,0.4699913263320923,0,709.163,551.538,8.323935,2.452979
1,1565.37353515625,325.84185791015625,1665.19970703125,550.1109619140625,0.4433034062385559,0,1615.287,550.111,-3.149117,1.202489
1,724.9215087890625,380.78399658203125,785.7239990234375,483.26116943359375,0.3542565405368805,0,755.323,483.261,15.663529,-1.370694
2,665.1005249023438,389.3490295410156,746.5558471679688,556.6866455078125,0.4729171395301819,0,705.828,556.687,7.946927,2.647084
2,1565.244384765625,325.68792724609375,1665.2568359375,550.314453125,0.442913681268692,0,1615.251,550.314,-3.151998,1.206900
2,723.359619140625,379.28253173828125,785.151123046875,482.11883544921875,0.32495951652526855,0,754.255,482.119,15.934643,-1.468624
2,785.1080322265625,339.2227783203125,853.9053955078125,467.521240234375,0.3121790289878845,0,819.507,467.521,15.480767,-2.542945
3,650.0948486328125,392.70355224609375,747.5023193359375,552.3578491210938,0.44797834753990173,0,698.799,552.358,8.516054,2.511814
3,1565.1513671875,325.6546630859375,1665.4130859375,550.2762451171875,0.4437110722064972,0,1615.282,550.276,-3.151614,1.206056
3,721.72705078125,378.532958984375,784.875244140625,481.3372802734375,0.3144589066505432,0,753.301,481.337,16.134850,-1.537420
4,1565.3348388671875,325.93927001953125,1665.2069091796875,550.19775390625,0.43026700615882874,0,1615.271,550.198,-3.150344,1.204372
4,649.45703125,395.6181945800781,746.91650390625,552.9970703125,0.4048587381839752,0,698.187,552.997,8.472503,2.536975
4,720.9971923828125,377.67779541015625,784.4815673828125,480.84893798828125,0.3172537386417389,0,752.739,480.849,16.259750,-1.580853
5,1565.565185546875,326.44805908203125,1664.769775390625,550.08935546875,0.3977659344673157,0,1615.167,550.089,-3.148035,1.202101
6,1565.5966796875,326.42425537109375,1664.733154296875,550.087646484375,0.4067707061767578,0,1615.165,550.088,-3.147993,1.202066
6,719.9544677734375,377.85906982421875,784.2998046875,480.98486328125,0.3075580298900604,0,752.127,480.985,16.264227,-1.570787
7,1565.543701171875,326.4898681640625,1664.768310546875,550.1326293945312,0.4046035706996918,0,1615.156,550.133,-3.148624,1.203042
7,644.0728759765625,398.32666015625,731.7374267578125,549.127197265625,0.38290292024612427,0,687.905,549.127,9.118986,2.420888
7,720.326416015625,378.35699462890625,785.32470703125,482.55218505859375,0.3375683128833771,0,752.826,482.552,15.922639,-1.435678
8,1565.48193359375,326.478271484375,1664.91796875,550.1453857421875,0.3971259891986847,0,1615.200,550.145,-3.149096,1.203288
8,719.2511596679688,379.0338134765625,785.7467651367188,483.471435546875,0.33075815439224243,0,752.499,483.471,15.762844,-1.359778
8,643.0140991210938,397.140625,736.4942016601562,548.656005859375,0.3255244195461273,0,689.754,548.656,9.114881,2.397628
9,1565.548828125,326.36968994140625,1664.7265625,550.2257080078125,0.407544881105423,0,1615.138,550.226,-3.149930,1.205061
9,636.4521484375,391.335205078125,728.44921875,554.763427734375,0.3081364631652832,0,682.451,554.763,8.718801,2.646980
9,717.6251831054688,382.23138427734375,785.3595581054688,485.89520263671875,0.3015003800392151,0,751.492,485.895,15.358344,-1.164616
10,1565.55419921875,326.49053955078125,1664.7216796875,550.1693115234375,0.39576607942581177,0,1615.138,550.169,-3.149071,1.203845
10,636.38525390625,391.0311279296875,725.562744140625,554.979736328125,0.3230825960636139,0,680.974,554.980,8.737323,2.659230
11,1565.477294921875,326.37591552734375,1664.847900390625,550.216064453125,0.4033202528953552,0,1615.163,550.216,-3.149940,1.204837
11,635.491943359375,393.2950439453125,723.39111328125,558.27685546875,0.37177979946136475,0,679.442,558.277,8.468850,2.781296
12,635.6104125976562,397.27008056640625,719.3981323242188,555.8225708007812,0.47962671518325806,0,677.504,555.823,8.749066,2.700125
12,1565.391845703125,326.184814453125,1665.005615234375,550.2889404296875,0.4177912473678589,0,1615.199,550.289,-3.151281,1.206384
13,630.44287109375,396.852294921875,716.0302734375,555.037841796875,0.5068185925483704,0,673.237,555.038,8.938325,2.684722
13,1565.333984375,326.224853515625,1665.126953125,550.3516845703125,0.4107629656791687,0,1615.230,550.352,-3.152439,1.207716
14,628.017578125,399.2520751953125,717.20654296875,554.988037109375,0.48408856987953186,0,672.612,554.988,8.959991,2.684814
14,1565.282958984375,326.10113525390625,1665.254638671875,550.4228515625,0.4202845096588135,0,1615.269,550.423,-3.153767,1.209224
15,625.2550048828125,397.6348876953125,713.1129150390625,557.128662109375,0.45754924416542053,0,669.184,557.129,8.845404,2.772591
15,1565.3173828125,325.98272705078125,1665.49267578125,550.4093017578125,0.42968130111694336,0,1615.405,550.409,-3.154419,1.208843
