frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
0,1,618.0,397.0,689.0,556.0,0.804367184638977,0,653.0,556.0,3.3287606239318848,4.228816509246826,WALKWAY_26,2.23943661971831
0,2,779.0,681.0,975.0,997.0,0.7242273688316345,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
0,3,724.0,377.0,782.0,478.0,0.6879891753196716,0,753.0,478.0,4.517485618591309,1.8424129486083984,WALKWAY_29,1.7413793103448276
0,4,843.0,530.0,963.0,644.0,0.6293984651565552,0,903.0,644.0,-1.607221245765686,5.216423511505127,IBAD_DESK_GAP,0.75
0,5,772.0,366.0,836.0,459.0,0.6029214859008789,0,804.0,459.0,4.303683280944824,1.6090642213821411,WALKWAY_29,1.453125
1,1,617.0,398.0,689.0,556.0,0.7681198716163635,0,653.0,556.0,3.3287606239318848,4.228816509246826,WALKWAY_26,2.1944444444444446
1,2,779.0,681.0,974.0,997.0,0.7248802185058594,0,876.0,997.0,-4.753500461578369,6.743407726287842,WALKWAY_16,1.6205128205128203
1,3,723.0,378.0,783.0,480.0,0.6656039357185364,0,753.0,480.0,4.43718147277832,1.8600397109985352,WALKWAY_29,1.7
1,4,843.0,530.0,963.0,644.0,0.6288983225822449,0,903.0,644.0,-1.607221245765686,5.216423511505127,IBAD_DESK_GAP,0.75
1,5,772.0,366.0,836.0,459.0,0.65234375,0,804.0,459.0,4.303683280944824,1.6090642213821411,WALKWAY_29,1.453125
2,1,616.0,398.0,688.0,556.0,0.7531137466430664,0,652.0,556.0,3.337191104888916,4.232138156890869,WALKWAY_26,2.1944444444444446
2,2,779.0,681.0,974.0,997.0,0.7252018451690674,0,876.0,997.0,-4.753500461578369,6.743407726287842,WALKWAY_16,1.6205128205128203
2,3,723.0,377.0,782.0,478.0,0.721540093421936,0,752.0,478.0,4.536509037017822,1.843340277671814,WALKWAY_29,1.7118644067796611
2,4,843.0,530.0,963.0,644.0,0.6275472044944763,0,903.0,644.0,-1.607221245765686,5.216423511505127,IBAD_DESK_GAP,0.75
2,5,772.0,365.0,836.0,459.0,0.6474717855453491,0,804.0,459.0,4.303683280944824,1.6090642213821411,WALKWAY_29,1.46875
3,1,615.0,397.0,687.0,557.0,0.7595287561416626,0,651.0,557.0,3.3266797065734863,4.243287563323975,WALKWAY_26,2.2222222222222223
3,2,779.0,681.0,974.0,997.0,0.7219511270523071,0,876.0,997.0,-4.753500461578369,6.743407726287842,WALKWAY_16,1.6205128205128203
3,3,723.0,378.0,783.0,480.0,0.6918481588363647,0,753.0,480.0,4.43718147277832,1.8600397109985352,WALKWAY_29,1.7
3,4,843.0,530.0,963.0,644.0,0.6257561445236206,0,903.0,644.0,-1.607221245765686,5.216423511505127,IBAD_DESK_GAP,0.75
3,5,771.0,365.0,836.0,459.0,0.5942277312278748,0,803.0,459.0,4.324042797088623,1.6099095344543457,WALKWAY_29,1.446153846153846
4,1,613.0,397.0,686.0,558.0,0.6536633968353271,0,649.0,558.0,3.324620008468628,4.257611274719238,WALKWAY_26,2.2054794520547945
4,2,779.0,681.0,975.0,997.0,0.7221622467041016,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
4,3,723.0,377.0,783.0,480.0,0.6510223746299744,0,753.0,480.0,4.43718147277832,1.8600397109985352,WALKWAY_29,1.7166666666666666
4,4,843.0,530.0,963.0,645.0,0.6236443519592285,0,903.0,645.0,-1.6415646076202393,5.225078105926514,IBAD_DESK_GAP,0.75
5,1,615.0,397.0,689.0,557.0,0.6411226987838745,0,652.0,557.0,3.31831431388855,4.239974021911621,WALKWAY_26,2.1621621621621623
5,2,779.0,681.0,975.0,997.0,0.7232892513275146,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
